Какой бактериальный штамм содержится в Биокомпозит-Про? | Биокомпозит-Про содержит бактериальный штамм Pseudomonas asplenii с титром не менее 109 КОЕ/мл.
Какие преимущества имеет Биокомпозит-Про перед традиционными пестицидами? | Биокомпозит-Про имеет уникальный запатентованный бактериальный штамм, снижает пестицидный пресс на культуры, проявляет ростостимулирующее действие и является экологически безопасным.
Каким образом Биокомпозит-Про встраивается в традиционную систему защиты культур? | Биокомпозит-Про легко встраивается в традиционную систему защиты культур, снижая использование пестицидов.
Какие культуры подлежат обработке Биокомпозит-Про для защиты от оидиума? | Биокомпозит-Про рекомендуется использовать для обработки винограда для защиты от оидиума.
Какие емкости доступны для упаковки Биокомпозит-Про? | Биокомпозит-Про упаковывается в канистры объемом 5 л и 10 л.
Какой способ приготовления рабочего раствора Биокомпозит-Про следует использовать? | Рабочий раствор Биокомпозит-Про следует готовить путем разбавления препарата водой, используя не хлорированную воду, и перемешивать до получения равномерной смеси.
Какие культуры защищает Биокомпозит-Про от булыжной пятнистости и мучнистой росы? | Биокомпозит-Про защищает томаты защищенного грунта от булыжной пятнистости, мучнистой росы и фитофтороза.
Какие культуры защищает Биокомпозит-Про от серой гнили? | Биокомпозит-Про защищает виноград от серой гнили.
Какие преимущества дает использование Биокомпозит-Про в экологическом плане? | Использование Биокомпозит-Про экологически безопасно для человека и окружающей среды, так как он входит в серию препаратов ЭкоПлюс.
Какой механизм действия у Биокомпозит-Про? | Механизм действия обусловлен синтезом антибиотиков феназинового ряда, сидерофоров и индолил-3-уксусной кислоты. Он также синтезирует фунгицидные соединения.
Какие периоды ожидания рекомендованы после обработки Биокомпозит-Про? | Период ожидания после обработки Биокомпозит-Про составляет 7 дней для яблок и винограда, и 1 день для томата защищенного грунта.
Какие способы и периоды обработки рекомендованы для Биокомпозит-Про на яблонях? | Для яблонь обработка Биокомпозит-Про проводится опрыскиванием в период вегетации и перед сбором урожая, с интервалом в 7 дней, суммарно 4 обработки.
Как долго Биокомпозит-Про действует на стеблях и листьях растений? | На стеблях и листьях растений Биокомпозит-Про действует в течение 10-20 дней, в зависимости от степени инфицированности и погодных условий.
Какие культуры защищает Биокомпозит-Про от милдью? | Биокомпозит-Про защищает виноград от милдью.
Какие культуры подлежат обработке Биокомпозит-Про для защиты от монилиальной плодовой гнили? | Биокомпозит-Про рекомендуется использовать для обработки яблок для защиты от монилиальной плодовой гнили.
Что такое Биокомпозит-Про и для чего он предназначен? | Биокомпозит-Про - это микробиологический фунгицид, разработанный для защиты яблони, винограда и овощных культур от грибных и бактериальных инфекций.
Какие культуры защищает Биокомпозит-Про от парши, монилиальной плодовой гнили и мучнистой росы? | Биокомпозит-Про защищает яблоки от парши, монилиальной плодовой гнили и мучнистой росы.
Какие периоды ожидания рекомендованы после обработки Биокомпозит-Про на винограде? | После обработки Биокомпозит-Про на винограде рекомендуется соблюдать период ожидания в 7 дней перед сбором урожая.
Каким образом Биокомпозит-Про влияет на рост растений? | Биокомпозит-Про стимулирует рост растений за счет синтеза бактериальными клетками индолил-3-уксусной кислоты, регулятора роста растений.
Какие периоды ожидания рекомендованы после обработки Биокомпозит-Про на томатах? | После обработки Биокомпозит-Про на томатах рекомендуется соблюдать период ожидания в 1 день перед сбором урожая.
Как долго действует Биокомпозит-Про после обработки семян? | После обработки семян Биокомпозит-Про действует на корнях растений на протяжении всего периода вегетации.
Какие садовые опрыскиватели подходят для использования Биокомпозит-Про? | Для применения Биокомпозит-Про рекомендуются наземные садовые дистанционные опрыскиватели, такие как ОПВ-1200, ОВС-600С, ОВГ-2007, John Deere М732 или аналогичные модели.
Какие температурные условия хранения обеспечивают наилучшую эффективность Биокомпозит-Про? | Хранить Биокомпозит-Про следует в температурном интервале от +4°C до +25°C.
