Какие виды сорняков могут быть уничтожены Бригом, КС? | Бриг, КС способен уничтожать однолетние двудольные и злаковые сорняки.
Какие виды сорняков могут быть уничтожены Бригом, КС на ранних стадиях роста? | Бриг, КС может уничтожать сорняки на ранних стадиях роста, включая момент прорастания.
Можно ли применять Бриг, КС на полях с плохой выравнивающей поверхностью? | Нет, поверхность поля должна быть хорошо выровнена для успешного применения Брига, КС.
Каким образом Бриг, КС воздействует на сорняки на разных стадиях их роста? | Бриг, КС уничтожает сорняки как на стадии прорастания, так и на стадии до 2-х настоящих листьев.
Какие культуры могут быть обработаны Бригом, КС на фазе посева? | Подсолнечник и морковь (фаза 1-2 настоящих листьев) могут быть обработаны Бригом, КС на фазе посева.
Какие меры следует предпринимать при хранении Брига, КС? | Бриг, КС следует хранить в температурном интервале от минус 10 до плюс 30°С.
Какова длительность защитного периода Брига, КС? | Длительность защитного периода Брига, КС составляет от 30 до 80 дней, зависящих от влажности почвы, погодных условий и видового состава сорняков.
Каким образом проводится заделка Брига, КС на поле с низкой влажностью? | В условиях низкой влажности (засушливых почвенных условиях) рекомендуется мелкая заделка Брига, КС на глубину 2-3 см.
В каких случаях рекомендуется проводить обработку Бригом, КС на поле с картофелем? | Обработка Бригом, КС на поле с картофелем рекомендуется проводить до всходов культуры.
В какие сроки рекомендуется проводить обработку Бригом, КС на поле с подсолнечником? | Обработка Бригом, КС на поле с подсолнечником может быть проведена до посева, одновременно с посевом или до всходов культуры.
В какие сроки наступает полное уничтожение сорняков после обработки Бригом, КС? | Полное уничтожение сорняков после обработки Бригом, КС наблюдается через 7-12 дней после появления всходов сорняков.
Какие виды сорняков чувствительны к Бригу, КС наиболее интенсивно? | К Бригу, КС наиболее чувствительны галинсога мелкоцветковая, гулявник лекарственный и другие.
В какие сроки рекомендуется проводить обработку Бригом, КС на поле с нутом? | Обработка Бригом, КС на поле с нутом может быть проведена до всходов культуры.
Каким образом Бриг, КС воздействует на взошедшие сорняки? | Бриг, КС воздействует на взошедшие сорняки через листья.
Какие культуры могут быть обработаны Бригом, КС на фазе посева? | Подсолнечник и морковь (фаза посева) могут быть обработаны Бригом, КС.
Какие особенности обработки Бригом, КС следует учитывать на полях с тяжелой почвой? | Нормы расхода Брига, КС на тяжелых (высокогумусных) почвах следует увеличить до максимальных значений для достижения оптимального эффекта.
Какие виды сорняков чувствительны к Бригу, КС? | Среди чувствительных видов сорняков можно выделить галинсогу мелкоцветковую, гулявник лекарственный, росичку кроваво-красную и другие.
Какие меры следует принимать при приготовлении рабочей жидкости с Бригом, КС? | Рабочий раствор Брига, КС следует готовить непосредственно перед применением, соблюдая правила безопасности.
Какие виды сорняков относятся к умеренно чувствительным к Бригу, КС? | Умеренно чувствительными к Бригу, КС являются амброзия полыннолистная, желтушник левкойный, редька дикая и другие.
Какие меры предпринимаются при хранении Брига, КС? | Бриг, КС следует хранить в температурном интервале от минус 10 до плюс 30°С.
Каково действие гербицида Бриг, КС на фотосинтез у сорняков? | Гербицид Бриг, КС тормозит процесс фотосинтеза у чувствительных сорняков, блокируя реакцию Хилла, что приводит к их гибели.
