Какие активные компоненты содержит Кинфос, КЭ? | Кинфос, КЭ содержит 300 г/л диметоата и 40 г/л бета-циперметрина.
Какие культуры подходят для обработки Кинфос, КЭ? | Кинфос, КЭ может быть использован на различных культурах, включая горох, нут, яблоки, груши, виноград и другие.
Каков спектр действия Кинфос, КЭ? | Кинфос, КЭ эффективен против таких вредителей, как хлебная жужелица, клоп вредная черепашка, пьявица, колорадский жук, саранчовые и другие.
Что такое Кинфос, КЭ? | Кинфос, КЭ - это комбинированный инсектоакарицид острого контактно-кишечного действия против разнообразных вредителей.
Какой гарантийный срок хранения у Кинфос, КЭ? | Гарантийный срок хранения Кинфос, КЭ составляет 2 года.
Как готовить рабочий раствор Кинфос, КЭ? | Кинфос, КЭ может использоваться на различных культурах, включая горох, нут, яблоки, груши, виноград и другие.
Какие классы опасности присутствуют у Кинфос, КЭ? | Кинфос, КЭ относится к 3 классу опасности для человека, что делает его умеренно опасным, и к 1 классу опасности для пчел, что говорит о его высокой опасности для пчел.
Каков температурный диапазон хранения Кинфос, КЭ? | Кинфос, КЭ следует хранить в диапазоне температур от минус 10°C до плюс 25°C.
Какие культуры могут быть обработаны Кинфос, КЭ? | Кинфос, КЭ считается высокоопасным для пчел (1 класс опасности) и умеренно опасным для человека (3 класс опасности).
Какие культуры можно обрабатывать Кинфос, КЭ? | Кинфос, КЭ подходит для обработки различных культур, включая пшеницу, ячмень, овес, картофель, пастбища, сахарную свеклу, сою, подсолнечник, кукурузу, яблоки, груши, виноград и многие другие.
В какое время следует проводить опрыскивание Кинфос, КЭ? | Опрыскивание Кинфос, КЭ следует проводить в безветренную погоду в утренние или вечерние часы, обеспечивая равномерное покрытие листьев. Интервал между обработкой и возможным выпадением осадков должен быть не менее 4 часов.
Какие классы опасности имеются у Кинфос, КЭ? | Опрыскивание Кинфос, КЭ рекомендуется проводить в безветренные утренние или вечерние часы для равномерного покрытия листьев. Между обработкой и возможными осадками должно пройти не менее 4 часов.
Сколько лет составляет гарантийный срок хранения Кинфос, КЭ? | Гарантийный срок хранения Кинфос, КЭ составляет 2 года.
