Может ли препарат Мекар, МЭ накапливаться в плодах? | Препарат Мекар, МЭ не накапливается в плодах.
Каков механизм действия абамектина, основного компонента препарата Мекар, МЭ? | Абамектин - избирательный инсектоакарицид с трансламинарной активностью, действующий по принципу нейротоксинного типа. Он стимулирует выделение γ-аминомасляной кислоты, что приводит к параличу и гибели насекомых и клещей.
Какой гарантийный срок хранения у препарата Мекар, МЭ? | Препарат Мекар, МЭ имеет гарантийный срок хранения в течение 2 лет.
В чем заключается инновационность формы Мекар, МЭ? | Препарат Мекар, МЭ представляет собой инсектоакарицид в инновационной микроэмульсионной формуле.
Какие культуры могут быть обработаны препаратом Мекар, МЭ? | Препарат Мекар, МЭ может быть использован для обработки винограда.
Каков температурный интервал хранения препарата Мекар, МЭ? | Препарат Мекар, МЭ можно хранить в температурном интервале от -15 до +30 °C.
Каково влияние препарата Мекар, МЭ на пчел? | Препарат Мекар, МЭ отнесен к 1 классу опасности для пчел, что означает его высокую опасность для них.
Какие действия следует предпринять перед применением препарата Мекар, МЭ? | Перед применением препарата Мекар, МЭ следует ознакомиться с рекомендациями по применению, а также провести проверку совместимости с другими пестицидами.
Какая дозировка препарата Мекар, МЭ рекомендуется для обработки винограда от паутинных клещей? | Для обработки винограда от паутинных клещей рекомендуется использовать дозировку 0,75-1,0 л/га.
Каков период защитного действия препарата Мекар, МЭ? | Период защитного действия препарата Мекар, МЭ составляет 2-3 недели.
Какова трансламинарная активность препарата Мекар, МЭ? | Препарат Мекар, МЭ обладает повышенной трансламинарной активностью, позволяя контролировать вредителей даже в труднодоступных местах.
Какие меры следует предпринять перед применением препарата Мекар, МЭ? | Перед применением препарата Мекар, МЭ следует ознакомиться с рекомендациями по применению, а также провести проверку совместимости с другими пестицидами.
Какие культуры могут быть обработаны препаратом Мекар, МЭ? | Препарат Мекар, МЭ может быть использован для обработки яблони и винограда.
В чем состоит важность препарата Мекар, МЭ для антирезистентных программ защиты садов? | Препарат Мекар, МЭ является важным компонентом антирезистентных программ защиты садов, так как эффективен даже против клещей, выработавших устойчивость к другим химическим классам акарицидов.
В чем заключается преимущество формулы микроэмульсии препарата Мекар, МЭ? | Формула микроэмульсии обеспечивает максимальную скорость проникновения в растение и повышенную трансламинарную активность, что позволяет контролировать вредителей даже в труднодоступных местах.
Какая дозировка препарата Мекар, МЭ рекомендуется для обработки винограда от виноградного войлочного клеща? | Для обработки винограда от виноградного войлочного клеща рекомендуется использовать дозировку 0,75-1,0 л/га.
Какие вредители яблони могут быть уничтожены с помощью Мекар, МЭ? | Препарат Мекар, МЭ эффективен против растительноядных клещей и яблонной медяницы.
Какой химический класс принадлежит препарату Мекар, МЭ? | Препарат Мекар, МЭ принадлежит к химическому классу авермектинов.
Какие способы обработки можно использовать для применения препарата Мекар, МЭ? | Для обработки можно использовать наземные опрыскиватели или садовые дистанционные опрыскиватели.
Какая дозировка препарата Мекар, МЭ рекомендуется для обработки яблони от клещей? | Для обработки яблони от клещей рекомендуется использовать дозировку 0,75-1,0 л/га.
Какой спектр действия имеет препарат Мекар, МЭ? | Препарат Мекар, МЭ обладает высокой эффективностью против растительноядных клещей, включая тех, которые выработали устойчивость к акарицидам других химических классов.
Какие меры безопасности следует соблюдать при работе с препаратом Мекар, МЭ? | При работе с препаратом Мекар, МЭ необходимо соблюдать меры предосторожности и рекомендации по безопасному обращению с химическими веществами.
Что представляет собой препарат Мекар, МЭ? | Препарат Мекар, МЭ - это инсектоакарицид в инновационной микроэмульсионной формуле, разработанный для защиты яблони и винограда от растительноядных клещей.
Какие пестициды можно смешивать с препаратом Мекар, МЭ? | Препарат Мекар, МЭ совместим с большинством пестицидов. Рекомендуется проверять совместимость смешиваемых препаратов перед применением.
Какие меры следует соблюдать при приготовлении рабочей жидкости с препаратом Мекар, МЭ? | Приготовление рабочей жидкости следует проводить непосредственно перед применением, соблюдая указанные рекомендации по смешиванию препарата с водой.
Какой класс опасности присвоен препарату Мекар, МЭ? | Препарат Мекар, МЭ отнесен к 2 классу опасности, что означает его высокую опасность.
