Каков период ожидания после обработки Тебу 60, МЭ ? | Период ожидания после обработки Тебу 60, МЭ составляет 10 дней.
Какие культуры могут быть обработаны с использованием Тебу 60, МЭ ? | Тебу 60, МЭ предназначен для зерновых культур и льна-долгунца.
Какие ограничения существуют по использованию обработанных семян Тебу 60, МЭ ? | Не рекомендуется использовать обработанные семена на корм скоту.
Какое действие оказывает Тебу 60, МЭ на фитопатогенов? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов, что приводит к их гибели.
Какой спектр действия у Тебу 60, МЭ ? | Тебу 60, МЭ действует против антракноза, гельминтоспориозной корневой гнили, каменной головни, пыльной головни и других заболеваний.
Какой период защитного действия предоставляет Тебу 60, МЭ ? | Тебу 60, МЭ обеспечивает биологический эффект в течение всего периода от прорастания семян до кущения культуры.
Какие преимущества предоставляет Тебу 60, МЭ ? | Тебу 60, МЭ предоставляет базовую защиту семян, инновационную формуляцию, длительный период защиты, оптимальное решение для хозяйств с уровнем планируемой урожайности до 25 ц/га и другие.
Какой механизм действия у Тебу 60, МЭ ? | Механизм действия Тебу 60, МЭ заключается в подавлении биосинтеза эргостерина в мембранах клеток фитопатогенов, что приводит к их гибели.
Какая упаковка доступна для Тебу 60, МЭ ? | Тебу 60, МЭ поставляется в упаковке канистры объемом 5 литров.
Какое вещество содержится в Тебу 60, МЭ ? | Тебу 60, МЭ содержит 60 г/л тебуконазола.
Какой класс опасности присвоен Тебу 60, МЭ ? | Тебу 60, МЭ относится к 2 классу опасности как высокоопасное вещество.
Можно ли использовать Тебу 60, МЭ в дождливую погоду? | Тебу 60, МЭ эффективен при самостоятельном применении, однако обработку рекомендуется проводить в сухую погоду.
Какое химическое действие имеет Тебу 60, МЭ ? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов, что ведет к их гибели.
Какие преимущества имеет Тебу 60, МЭ ? | Тебу 60, МЭ имеет базовую защиту семян, инновационную формуляцию, оптимальное решение при преобладании головной инфекции, длительный период защиты и другие.
Какое действие оказывает Тебу 60, МЭ на патогенов? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов, вызывая их гибель.
Какие патогены подвергаются воздействию Тебу 60, МЭ ? | Тебу 60, МЭ оказывает действие на антракноз, гельминтоспориозную корневую гниль, каменную головню, пыльную головню и другие.
Какие культуры могут быть обработаны с использованием Тебу 60, МЭ ? | Тебу 60, МЭ применяется для обработки семян пшеницы (яровой и озимой), ячменя (ярового и озимого), ржи озимой и льна-долгунца.
Какое химическое действие оказывает Тебу 60, МЭ на патогенов? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов и влияет на их метаболизм, вызывая гибель патогенов.
Какие преимущества предоставляет Тебу 60, МЭ ? | Преимущества Тебу 60, МЭ включают базовую защиту семян, инновационную формуляцию, длительный период защиты, оптимальное решение для хозяйств с уровнем планируемой урожайности до 25 ц/га и другие.
Какие преимущества имеет Тебу 60, МЭ ? | Тебу 60, МЭ обеспечивает базовую защиту семян, инновационную формуляцию, длительный период защиты, оптимальное решение для хозяйств с планируемой урожайностью до 25 ц/га и другие.
Какой механизм действия у Тебу 60, МЭ ? | Механизм действия заключается в подавлении биосинтеза эргостерина в мембранах клеток фитопатогенов, что приводит к гибели патогенов.
Какие семена можно обрабатывать с использованием Тебу 60, МЭ ? | Тебу 60, МЭ предназначен для протравливания семян зерновых культур и льна-долгунца.
Как проводится обработка с использованием Тебу 60, МЭ ? | Обработку с использованием Тебу 60, МЭ рекомендуется проводить на протравочных машинах типа ПС-10 или аналогичных машинах.
Какой период защитного действия обеспечивает Тебу 60, МЭ ? | Тебу 60, МЭ обеспечивает длительный период защиты семян от прорастания до кущения зерновых культур.
Какие культуры можно обрабатывать с использованием Тебу 60, МЭ ? | Тебу 60, МЭ применяется для обработки пшеницы (яровой и озимой), ячменя (ярового и озимого), ржи озимой и льна-долгунца.
Какой класс опасности у Тебу 60, МЭ ? | Тебу 60, МЭ принадлежит к 2 классу опасности, как высокоопасное вещество.
Для каких культур предназначен Тебу 60, МЭ ? | Тебу 60, МЭ предназначен для зерновых культур и льна-долгунца.
Какие преимущества имеет Тебу 60, МЭ ? | Преимущества Тебу 60, МЭ включают базовую защиту семян, инновационную формуляцию, длительный период защиты, минимальное воздействие на всхожесть и другие.
Какой класс опасности у Тебу 60, МЭ ? | Тебу 60, МЭ относится к 2 классу опасности, как высокоопасное вещество.
Какое действие оказывает Тебу 60, МЭ на фитопатогенов? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов, вызывая их гибель.
В чем заключается механизм действия Тебу 60, МЭ ? | Механизм действия Тебу 60, МЭ заключается в подавлении биосинтеза эргостерина в мембранах клеток фитопатогенов, что приводит к их гибели.
Какие культуры могут быть обработаны с использованием Тебу 60, МЭ ? | Тебу 60, МЭ рекомендуется использовать для протравливания семян пшеницы (яровой и озимой), ячменя (ярового и озимого), ржи озимой и льна-долгунца.
Можно ли использовать Тебу 60, МЭ на семенах льна-долгунца? | Да, Тебу 60, МЭ можно использовать для обработки семян льна-долгунца.
Какой период ожидания необходимо соблюдать после обработки Тебу 60, МЭ ? | Период ожидания после обработки Тебу 60, МЭ составляет 10 дней.
Какой период защитного действия у Тебу 60, МЭ ? | Биологический эффект Тебу 60, МЭ сохраняется от прорастания семян до кущения культуры.
Какое действие оказывает Тебу 60, МЭ на фитопатогенов? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов, что ведет к их гибели.
Что следует соблюдать при работе с Тебу 60, МЭ ? | При работе с Тебу 60, МЭ следует соблюдать меры индивидуальной защиты, такие как ношение защитной одежды и респиратора.
Какой период защитного действия у Тебу 60, МЭ ? | Биологический эффект Тебу 60, МЭ сохраняется в течение всего периода от прорастания семян до кущения культуры.
В каком случае можно использовать Тебу 60, МЭ ? | Тебу 60, МЭ можно использовать для протравливания семян перед посевом или заблаговременной обработки.
