Какой химический класс у Триады, ККР ? | Препарат относится к классу триазолов.
Какие компоненты входят в состав Триады, ККР ? | Препарат содержит 140 г/л пропиконазола, 140 г/л тебуконазола и 72 г/л эпоксиконазола.
Какая норма применения Триады, ККР на пшенице озимой для борьбы с фузариозом колоса? | Рекомендуется использовать 0,6 литра препарата на гектар и расход 200-300 литров рабочей жидкости.
Какая норма применения Триады, ККР на пшенице яровой и озимой для борьбы с фузариозом колоса? | Рекомендуется использовать 0,6 литра препарата на гектар и расход 200-300 литров рабочей жидкости.
Может ли возникнуть резистентность к Триаде, ККР ? | При правильном использовании препарата и соблюдении рекомендаций не было наблюдено возникновения резистентности.
С чем совместим Триада, ККР ? | Препарат совместим с инсектицидами и другими фунгицидами. Рекомендуется проводить пробное смешивание.
Что такое Триада, ККР ? | Триада, ККР - это инновационный фунгицид для защиты зерновых культур от колосовых и листостебельных заболеваний.
Как проводить приготовление рабочего раствора и заправку опрыскивателя с Триадой, ККР ? | Рабочий раствор готовится на специальных площадках и подвергается обезвреживанию. Используются опрыскиватели марок Амазоне, ОП-2000-2-01 или аналогичные.
Может ли возникнуть резистентность к Триаде, ККР ? | При соблюдении рекомендуемых норм расхода и технологии использования, резистентность не наблюдается.
Кто является регистрантом Триады, ККР ? | Препарат зарегистрирован компанией АО Щелково Агрохим в России.
Какая упаковка используется для Триады, ККР ? | Продукт поставляется в канистрах объемом 5 литров.
Где производится Триада, ККР ? | Препарат также производится компанией АО Щелково Агрохим в России.
Какой способ обработки рекомендуется для пшеницы яровой и озимой с помощью Триады, ККР ? | Опрыскивание следует проводить в период вегетации.
Какой класс опасности у Триады, ККР ? | Препарат относится к 2 классу опасности, что означает, что он является высокоопасным веществом.
Какие болезни атакуют пшеницу яровую и озимую, против которых эффективен Триада, ККР ? | Болезни включают мучнистую росу, ржавчину бурую и стеблевую, септориоз листьев и колоса, пиренофороз.
Какой период обработки рекомендуется для борьбы с фузариозом колоса на пшенице озимой с помощью Триады, ККР ? | Опрыскивание следует проводить в фазу конца колошения - начала цветения.
Какие рекомендации по хранению Триады, ККР ? | Препарат следует хранить в интервале температур от -10°C до +35°C.
Как провести заправку опрыскивателя с рабочим раствором Триады, ККР ? | Рабочий раствор готовить на специальных площадках, а остатки маточного раствора следует ополоснуть водой и вылить в бак опрыскивателя. Затем долейте воду до нужного объема и перемешайте.
Как долго длится период защитного действия Триады, ККР ? | Защитное действие сохраняется в течение 3-4 недель.
Какой вредитель атакует ячмень яровой, против которого действует Триада, ККР ? | Ячмень яровой может быть атакован мучнистой росой, против которой действует препарат.
Сколько дней нужно ожидать после обработки Триадой, ККР на ячмене яровом для борьбы с мучнистой росой? | Срок ожидания составляет 30 дней (кратность обработок - 1-2).
Какие культуры можно обрабатывать Триадой, ККР ? | Препарат подходит для обработки пшеницы яровой и озимой, а также ячменя ярового, включая пивоваренный.
Сколько дней нужно ожидать после обработки Триадой, ККР на пшенице озимой для борьбы с фузариозом колоса? | Срок ожидания составляет 30 дней (кратность обработок - 1-2).
Какая норма применения Триады, ККР на ячмень яровой для борьбы с мучнистой росой и другими болезнями? | Рекомендуется использовать 0,5-0,6 литра препарата на гектар и расход 300 литров рабочей жидкости.
Какие преимущества имеет Триада, ККР ? | Препарат обеспечивает усиленную защиту от опасных заболеваний, имеет синергетический эффект, быстро проникает и оказывает куративное и защитное действие.
Какова технология приготовления рабочего раствора Триады, ККР ? | Рабочий раствор следует готовить перед применением, используя маточный раствор с концентрацией 30-40%.
