Каким образом инсектицид Юнона, МЭ воздействует на гусениц? | Инсектицид Юнона, МЭ приводит к парализии и гибели гусениц чешуекрылых вредителей.
Какая температура хранения рекомендуется для инсектицида Юнона, МЭ ? | Инсектицид Юнона, МЭ следует хранить в температурном интервале от -15 до +35°C.
Какие культуры могут быть обработаны инсектицидом Юнона, МЭ ? | Инсектицид Юнона, МЭ рекомендуется для обработки яблонь и виноградных кустов.
Как следует приготовить рабочую жидкость перед применением инсектицида Юнона, МЭ ? | Рабочую жидкость следует готовить перед применением, заполнив бак опрыскивателя водой наполовину, добавив препарат и долив оставшееся количество воды, тщательно перемешав.
В каком объеме предлагается инсектицид Юнона, МЭ ? | Инсектицид Юнона, МЭ предлагается в упаковке объемом 5 литров и 1 литр.
Какие культуры могут быть обработаны инсектицидом Юнона, МЭ наряду с яблонями? | Инсектицид Юнона, МЭ рекомендуется для обработки виноградных кустов от гроздевой листовертки.
Каким образом инсектицид Юнона, МЭ воздействует на мышечные клетки насекомых? | Инсектицид Юнона, МЭ связывает h-рецепторы в мышечных клетках насекомых, что приводит к расслаблению мышц и их неподвижности.
В каких случаях можно применять инсектицид Юнона, МЭ на яблонях? | Инсектицид Юнона, МЭ рекомендуется для защиты яблонь от яблонной плодожорки, с нормой расхода препарата 0,4-0,5 л/га.
Какое время ожидания необходимо соблюдать после обработки инсектицидом Юнона, МЭ виноградных кустов? | После обработки виноградных кустов инсектицидом Юнона, МЭ следует соблюдать период ожидания в течение 7 дней (2 обработки).
Какое вещество является действующим веществом в инсектициде Юнона, МЭ ? | Действующим веществом в инсектициде Юнона, МЭ является эмамектин бензоат, содержание которого составляет 50 г/л.
Какой температурный интервал рекомендуется для хранения инсектицида Юнона, МЭ ? | Инсектицид Юнона, МЭ рекомендуется хранить в температурном интервале от -15 до +35 °C.
Какое действующее вещество содержится в инсектициде Юнона, МЭ ? | Действующим веществом в инсектициде Юнона, МЭ является эмамектин бензоат с концентрацией 50 г/л.
Какие вредители подлежат обработке инсектицидом Юнона, МЭ ? | Инсектицид Юнона, МЭ предназначен для борьбы с чешуекрылыми вредителями садов и виноградников.
Сколько лет составляет гарантийный срок хранения инсектицида Юнона, МЭ ? | Гарантийный срок хранения инсектицида Юнона, МЭ составляет 3 года.
Какую роль играет инсектицид Юнона, МЭ в антирезистентной программе? | Инсектицид Юнона, МЭ является эффективным компонентом антирезистентной программы защиты растений.
Как инсектицид Юнона, МЭ воздействует на гусениц чешуекрылых? | Инсектицид Юнона, МЭ вызывает парализию и гибель гусениц чешуекрылых вредителей.
Каков период защитного действия инсектицида Юнона, МЭ ? | Защитное действие инсектицида Юнона, МЭ продолжается в течение 10-15 суток.
Что происходит с насекомыми после обработки инсектицидом Юнона, МЭ ? | Спустя 1-4 часа после обработки насекомые перестают двигаться и питаться; через 1-3 дня они погибают.
Какие действия необходимо предпринять перед применением инсектицида Юнона, МЭ ? | Перед применением инсектицида Юнона, МЭ следует подготовить рабочую жидкость, перемешав его с водой и тщательно перемешав.
Как готовить рабочую жидкость для применения инсектицида Юнона, МЭ ? | Рабочую жидкость следует готовить перед применением, заполнив бак опрыскивателя водой наполовину, добавив препарат и долив оставшееся количество воды, тщательно перемешав.
В какой стране зарегистрирован инсектицид Юнона, МЭ ? | Инсектицид Юнона, МЭ зарегистрирован в России.
Какие преимущества обладает инсектицид Юнона, МЭ ? | Инсектицид Юнона, МЭ обладает высокой эффективностью благодаря инновационной формуляции микроэмульсии, быстрому проникновению и равномерному распределению на поверхности листа, повышенной трансламинарной активности и является эффективным компонентом антирезистентной программы.
Каков срок ожидания после обработки культур инсектицидом Юнона, МЭ ? | После обработки яблонь с инсектицидом Юнона, МЭ следует соблюдать период ожидания в течение 10 дней (3 обработки), а для виноградных кустов - 7 дней (2 обработки).
Какую роль играет инсектицид Юнона, МЭ в антирезистентной стратегии? | Инсектицид Юнона, МЭ представляет собой эффективный компонент антирезистентной стратегии защиты растений.
Каков регламент применения инсектицида Юнона, МЭ на яблонях? | Для защиты яблонь от яблонной плодожорки рекомендуется применять инсектицид Юнона, МЭ с нормой расхода 0,4-0,5 л/га, проводя обработку в период вегетации.
Каким образом инсектицид Юнона, МЭ действует на насекомых? | Инсектицид Юнона, МЭ воздействует на центральную нервную систему чешуекрылых, связывая рецепторы в синапсе и мышечных клетках, что приводит к расслаблению мышц, прекращению питания и гибели насекомых.
Какой гарантийный срок хранения у инсектицида Юнона, МЭ ? | Гарантийный срок хранения инсектицида Юнона, МЭ составляет 3 года при температуре от -15 до +35 °C
Для каких целей рекомендуется использовать инсектицид Юнона, МЭ ? | Инсектицид Юнона, МЭ предназначен для защиты садов и виноградников от чешуекрылых вредителей.
Как действует инсектицид Юнона, МЭ на насекомых? | Инсектицид Юнона, МЭ воздействует на центральную нервную систему чешуекрылых, связывая рецепторы в синапсе и мышечных клетках, что приводит к расслаблению мышц, прекращению питания и гибели насекомых.
Что представляет собой формуляция микроэмульсии в инсектициде Юнона, МЭ ? | Формуляция микроэмульсии в инсектициде Юнона, МЭ представляет собой инновационную технологию, обеспечивающую эффективное действие препарата.
Какова продолжительность действия инсектицида Юнона, МЭ ? | Защитное действие инсектицида Юнона, МЭ сохраняется в течение 10-15 суток.
Какие меры предосторожности следует соблюдать при использовании инсектицида Юнона, МЭ ? | При использовании инсектицида Юнона, МЭ следует соблюдать меры индивидуальной защиты, такие как ношение защитной одежды и средств защиты глаз.
Каковы сроки ожидания после обработки культур инсектицидом Юнона, МЭ ? | После обработки яблонь инсектицидом Юнона, МЭ необходимо соблюдать период ожидания в 10 дней (3 обработки), а для виноградных кустов - 7 дней (2 обработки).
Какая компания зарегистрирована как производитель инсектицида Юнона, МЭ ? | Инсектицид Юнона, МЭ производится и зарегистрирован компанией АО Щелково Агрохим в России.
Какой класс опасности имеет инсектицид Юнона, МЭ ? | Инсектицид Юнона, МЭ относится к 3 классу опасности, что означает его умеренную опасность.
Какая культура может быть защищена от чешуекрылых вредителей с использованием инсектицида Юнона, МЭ ? | Инсектицид Юнона, МЭ предназначен для защиты садов и виноградников.
